Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
2,8,5,1,0,32845,30110,2.5,6.0,184,19,26,3594,107,176
3,295,1,2,0,37895,34357,4.2,6.0,275,15,21,4600,113,193
3,301,1,2,1,26545,24085,3.4,6.0,185,19,26,4024,112,187
3,103,2,2,1,22180,20351,3.1,6.0,175,20,30,3353,109,195
3,221,2,2,1,26470,24282,3.8,6.0,205,20,29,3567,112,200
3,300,2,2,1,24895,22835,3.8,6.0,200,20,30,3461,109,196
3,299,2,2,1,28345,26047,3.8,6.0,240,18,28,3536,109,196
3,222,2,2,1,32245,29566,3.8,6.0,205,20,29,3591,112,200
3,275,2,2,1,35545,32244,3.8,6.0,205,20,29,3778,114,207
3,276,2,2,1,40720,36927,3.8,6.0,240,18,28,3909,114,207
4,147,1,2,1,52795,48377,5.3,8.0,295,14,18,5367,116,199
4,327,1,2,1,46995,43523,4.6,8.0,320,16,21,4302,116,195
4,89,2,2,2,30835,28575,3.6,6.0,255,18,25,3694,113,190
4,126,2,2,1,45445,41650,4.6,8.0,275,18,26,3984,115,207
4,127,2,2,1,50595,46362,4.6,8.0,300,18,26,4044,115,207
4,343,2,2,1,47955,43841,4.6,8.0,275,18,26,3992,112,201
4,411,3,2,2,76200,70546,4.6,8.0,320,17,25,3647,106,178
4,148,4,2,0,52975,48541,6.0,8.0,345,13,17,5879,130,221
5,360,1,2,1,42735,37422,5.3,8.0,295,14,18,4947,130,219
5,369,1,2,0,41465,36287,5.3,8.0,295,14,18,5050,116,197
5,383,1,2,1,30295,27479,4.2,6.0,275,16,21,4425,113,192
5,382,1,2,1,20255,19108,2.5,6.0,165,19,22,2866,98,163
5,65,2,2,1,11690,10965,1.6,4.0,103,28,34,2370,98,167
5,66,2,2,1,12585,11802,1.6,4.0,103,28,34,2348,98,153
5,98,2,2,1,14610,13697,2.2,4.0,140,26,37,2617,104,183
5,99,2,2,1,14810,13884,2.2,4.0,140,26,37,2676,104,183
5,100,2,2,1,16385,15357,2.2,4.0,140,26,37,2617,104,183
5,194,2,2,1,21900,20095,3.4,6.0,180,21,32,3465,111,200
5,235,2,2,1,18995,17434,2.2,4.0,145,24,34,3174,106,188
5,236,2,2,1,20370,18639,3.5,6.0,200,22,30,3297,106,188
5,248,2,2,1,21825,20026,3.4,6.0,180,21,32,3340,111,198
5,195,2,2,1,25000,22931,3.8,6.0,200,20,30,3476,111,200
5,196,2,2,1,27995,25672,3.8,6.0,240,18,28,3606,111,200
5,237,2,2,1,23495,21551,3.5,6.0,200,23,32,3315,106,188
5,249,2,2,1,24225,22222,3.8,6.0,200,18,28,3434,111,198
5,61,2,2,0,26395,23954,4.3,6.0,190,14,17,4605,111,190
5,390,2,2,1,27020,24518,3.4,6.0,185,19,26,3699,112,187
5,118,3,2,2,44535,39068,5.7,8.0,350,18,25,3246,105,180
5,119,3,2,2,51535,45193,5.7,8.0,350,18,25,3248,105,180
5,62,4,2,0,36100,31689,5.3,8.0,295,14,18,5678,130,222
5,110,4,2,0,18760,17070,2.8,4.0,175,18,23,3623,111,192
5,349,4,2,2,20310,18480,4.3,6.0,200,15,21,4142,119,206
5,350,4,2,0,40340,35399,6.0,8.0,300,13,17,4804,144,238
5,328,4,2,2,41995,39306,5.3,8.0,300,16,19,4760,116,191
5,238,5,2,1,22225,20394,3.5,6.0,200,22,30,3458,112,188
6,271,2,2,1,17985,16919,2.4,4.0,150,22,29,3101,103,169
6,273,2,2,1,22000,20573,2.4,4.0,150,22,29,3105,103,169
6,334,2,2,1,19090,17805,2.4,4.0,150,22,30,3173,108,191
6,336,2,2,1,21840,20284,2.7,6.0,200,21,28,3222,108,191
6,2,2,2,1,29865,27797,3.5,6.0,250,18,27,3581,113,198
6,111,2,2,1,24130,22452,2.7,6.0,200,21,29,3479,113,208
6,112,2,2,1,26860,24909,3.5,6.0,232,19,27,3548,113,208
6,272,2,2,1,25955,24172,2.4,4.0,220,21,27,3217,103,169
6,337,2,2,1,25215,23451,2.4,4.0,150,22,30,3357,106,194
6,3,2,2,1,33295,30884,3.5,6.0,255,18,27,3650,113,198
6,335,2,2,1,30950,28613,2.7,6.0,200,21,28,3448,106,194
6,380,2,2,1,27490,25371,3.3,6.0,180,19,26,4068,119,201
6,381,2,2,1,38380,35063,3.8,6.0,215,18,25,4331,119,201
6,120,3,2,2,34495,32033,3.2,6.0,215,17,25,3060,95,160
6,274,5,2,2,31230,28725,3.5,6.0,250,17,23,4675,116,199
7,130,1,2,0,32235,29472,4.7,8.0,230,15,21,4987,119,201
7,258,2,2,1,13670,12849,2.0,4.0,132,29,36,2581,105,174
7,259,2,2,1,15040,14086,2.0,4.0,132,29,36,2626,105,174
7,202,2,2,1,22035,20502,2.7,6.0,200,21,29,3469,113,204
7,359,2,2,1,18820,17512,2.4,4.0,150,21,28,3182,108,191
7,358,2,2,1,20220,18821,2.4,4.0,150,21,28,3175,108,191
7,201,2,2,1,24885,23058,3.5,6.0,232,18,27,3487,113,204
7,97,2,2,1,21795,20508,2.4,4.0,150,20,26,3862,113,189
7,181,2,2,0,32660,29812,3.8,6.0,215,18,25,4440,119,201
7,393,3,2,2,81795,74451,8.3,10.0,500,12,20,3410,99,176
7,125,4,2,2,17630,16264,3.7,6.0,210,16,22,3714,112,193
7,124,4,2,2,20300,18670,3.7,6.0,210,16,22,3829,131,219
7,296,4,2,2,20215,18076,3.7,6.0,215,16,21,4542,121,208
8,150,1,2,0,41475,36494,6.8,10.0,310,10,13,7190,137,227
8,151,1,2,1,34560,30468,4.6,8.0,232,15,19,5000,119,206
8,152,1,2,0,29670,26983,4.0,6.0,210,15,20,4463,114,190
8,149,1,2,0,22515,20907,3.0,6.0,201,18,23,3346,103,173
8,161,2,2,1,13270,12482,2.0,4.0,130,26,33,2612,103,168
8,157,2,2,1,13730,12906,2.0,4.0,110,27,36,2606,103,168
8,158,2,2,1,15460,14496,2.0,4.0,130,26,33,2606,103,168
8,162,2,2,1,15580,14607,2.0,4.0,130,26,33,2691,103,168
8,159,2,2,1,19135,17878,2.0,4.0,170,21,28,2750,103,168
8,370,2,2,1,20320,18881,3.0,6.0,155,20,27,3306,109,198
8,372,2,2,1,22735,20857,3.0,6.0,201,19,26,3313,109,198
8,121,2,2,2,24345,22856,4.6,8.0,224,17,25,4057,115,212
8,122,2,2,2,27370,25105,4.6,8.0,224,17,25,4057,115,212
8,123,2,2,2,30315,27756,4.6,8.0,239,17,25,4057,115,212
8,167,2,2,1,26930,24498,3.9,6.0,193,17,23,4275,121,201
8,254,3,2,2,18345,16943,3.8,6.0,193,20,29,3290,101,183
8,255,3,2,2,29380,26875,4.6,8.0,260,17,25,3347,101,183
8,373,3,2,1,37530,34483,3.9,8.0,280,17,24,3780,107,186
8,153,4,2,2,22010,19490,4.6,8.0,231,15,19,4788,126,211
8,154,4,2,0,33540,29405,5.4,8.0,300,14,18,5464,133,218
8,298,4,2,2,14385,13717,2.3,4.0,143,24,29,3028,111,188
8,160,5,2,1,17475,16375,2.0,4.0,130,26,33,2702,103,178
8,371,5,2,1,22290,20457,3.0,6.0,155,19,26,3497,109,198
9,146,1,2,1,31890,28922,4.2,6.0,275,15,19,4945,129,208
9,413,1,2,1,35725,31361,4.8,8.0,285,16,19,5042,116,199
9,414,1,2,0,46265,40534,6.0,8.0,325,13,17,6133,130,219
9,332,2,2,2,25640,23215,4.3,6.0,190,16,20,4309,111,190
9,96,4,2,2,16530,14877,2.8,4.0,175,18,25,3351,111,192
9,346,4,2,2,25717,22604,4.8,8.0,285,17,20,4548,144,230
9,347,4,2,0,29322,25759,6.0,8.0,300,13,18,5440,133,222
9,353,4,2,0,25395,23043,4.3,6.0,190,15,19,4083,123,208
10,107,0,0,1,20140,18451,1.4,4.0,93,46,51,2732,103,175
10,200,0,0,1,19110,17911,2.0,3.0,73,60,66,1850,95,155
10,286,1,0,0,27560,24843,3.5,6.0,240,17,22,4387,106,188
10,88,1,0,0,19860,18419,2.4,4.0,160,21,25,3258,103,179
10,144,1,0,0,18690,17334,2.4,4.0,160,21,24,3468,101,167
10,104,2,0,1,13270,12175,1.7,4.0,115,32,38,2432,103,175
10,106,2,0,1,14170,12996,1.7,4.0,117,36,44,2500,103,175
10,108,2,0,1,15850,14531,1.7,4.0,115,32,38,2513,103,175
10,50,2,0,1,19860,17924,2.4,4.0,160,26,34,2994,105,188
10,48,2,0,1,22260,20080,2.4,4.0,160,26,34,3047,105,188
10,105,2,0,1,17750,16265,1.7,4.0,127,32,37,2601,103,175
10,109,2,0,1,19490,17849,2.0,4.0,160,26,30,2782,101,166
10,51,2,0,1,23760,21428,3.0,6.0,240,21,30,3349,108,190
10,49,2,0,1,26960,24304,3.0,6.0,240,21,30,3294,105,188
10,263,2,0,1,24950,22498,3.5,6.0,240,18,25,4310,118,201
10,262,2,0,1,27450,24744,3.5,6.0,240,18,25,4365,118,201
10,309,3,0,2,33260,29965,2.2,4.0,240,20,25,2835,95,162
11,188,1,2,0,49995,45815,6.0,8.0,316,10,12,6400,123,190
12,333,1,0,1,21589,20201,2.7,6.0,173,20,26,3549,103,177
12,45,2,0,1,10539,10107,1.6,4.0,103,29,33,2255,96,167
12,46,2,0,1,11839,11116,1.6,4.0,103,29,33,2290,96,167
12,47,2,0,1,11939,11209,1.6,4.0,103,29,33,2339,96,167
12,141,2,0,1,13839,12781,2.0,4.0,138,26,34,2635,103,178
12,142,2,0,1,15389,14207,2.0,4.0,138,26,34,2635,103,178
12,143,2,0,1,15389,14207,2.0,4.0,138,26,34,2698,103,178
12,351,2,0,1,19339,17574,2.7,6.0,170,19,27,3217,106,187
12,352,2,0,1,20339,18380,2.7,6.0,170,19,27,3217,106,187
12,402,2,0,1,24589,22055,3.5,6.0,194,17,26,3651,108,192
12,403,2,0,1,26189,23486,3.5,6.0,194,17,26,3651,108,192
12,374,3,0,1,18739,17101,2.7,6.0,172,19,26,3023,100,173
13,169,2,0,2,28495,26157,3.5,6.0,260,18,26,3336,112,187
13,170,2,0,2,29795,27536,3.5,6.0,280,18,26,3416,112,182
13,169,2,0,0,32445,29783,3.5,6.0,260,18,26,3677,112,187
13,190,2,0,1,31145,28320,3.5,6.0,255,19,26,3306,108,194
13,228,2,0,2,42845,38792,4.5,8.0,340,17,23,3851,110,197
13,288,2,0,2,52545,47575,4.5,8.0,340,17,23,3977,113,200
13,155,5,0,2,34895,31756,3.5,6.0,280,16,22,4056,112,189
13,156,5,0,0,36395,33121,4.5,8.0,315,15,19,4309,112,189
14,60,1,0,0,31849,29977,4.2,6.0,275,15,20,4967,129,208
14,305,1,0,1,20449,19261,3.2,6.0,193,17,21,3836,106,178
15,396,2,1,0,29995,27355,2.5,6.0,192,18,26,3428,107,184
15,397,2,1,0,33995,30995,3.0,6.0,227,18,25,3516,107,184
15,306,2,1,2,43895,40004,3.0,6.0,235,18,26,3777,115,192
15,307,2,1,2,49995,45556,4.2,8.0,294,18,28,3874,115,192
15,308,2,1,2,63120,57499,4.2,8.0,390,17,24,4046,115,192
15,389,2,1,2,68995,62846,4.2,8.0,294,18,28,3803,119,200
15,404,2,1,2,59995,54656,4.2,8.0,294,18,28,3803,119,200
15,405,2,1,2,74995,68306,4.2,8.0,390,17,24,3948,119,200
15,407,3,1,2,69995,63756,4.2,8.0,294,18,26,3779,102,187
15,406,3,1,2,74995,68306,4.2,8.0,294,18,26,3980,102,187
15,409,3,1,2,81995,74676,4.2,8.0,390,16,23,3865,102,187
15,408,3,1,2,86995,79226,4.2,8.0,390,16,23,4042,102,187
16,182,1,2,1,27905,25686,4.0,6.0,195,16,21,3790,106,181
16,225,1,2,0,20130,18973,2.4,4.0,150,20,24,3826,104,174
16,395,1,2,0,25520,23275,4.0,6.0,190,16,19,3575,93,150
17,354,1,0,1,19635,18630,3.5,6.0,192,16,19,4112,107,180
17,264,2,0,1,16040,14910,2.4,4.0,138,23,30,3281,106,186
17,303,2,0,1,10280,9875,1.6,4.0,104,26,33,2403,95,167
17,302,2,0,1,11155,10705,1.6,4.0,104,25,32,2458,95,167
17,355,2,0,1,12360,11630,1.8,4.0,124,24,32,2661,101,178
17,356,2,0,1,13580,12830,1.8,4.0,124,24,32,2686,101,178
17,357,2,0,1,14630,13790,1.8,4.0,124,24,32,2697,101,178
17,265,2,0,1,18435,16850,2.7,6.0,170,20,27,3279,106,186
17,59,2,0,1,26000,23764,3.5,6.0,195,17,25,4021,110,196
17,338,2,0,1,20615,19400,3.5,6.0,195,16,22,4802,115,194
17,304,5,0,1,11905,11410,1.6,4.0,104,26,33,2447,95,167
18,297,1,1,0,72250,65807,4.4,8.0,282,12,16,5379,113,195
18,129,1,1,0,39250,35777,4.6,8.0,217,12,16,4576,100,185
18,166,1,1,0,25995,23969,2.5,6.0,174,18,21,3577,101,175
19,176,1,0,0,45700,39838,4.7,8.0,235,15,19,4740,110,188
19,214,1,0,0,64800,56455,4.7,8.0,235,13,17,5590,112,193
19,294,1,0,0,39195,34576,3.3,6.0,230,18,24,4065,107,186
19,135,2,0,1,32350,28755,3.3,6.0,225,20,29,3460,107,191
19,192,2,0,2,31045,27404,3.0,6.0,215,18,25,3255,105,177
19,191,2,0,2,32415,28611,3.0,6.0,215,18,24,3285,105,177
19,172,2,0,2,41010,36196,3.0,6.0,220,18,25,3649,110,189
19,173,2,0,2,48450,42232,4.3,8.0,300,18,23,3715,110,189
19,209,2,0,2,55750,48583,4.3,8.0,290,18,25,3990,115,197
19,321,3,0,2,63200,55063,4.3,8.0,300,18,23,3840,103,178
19,193,5,0,2,32455,28647,3.0,6.0,215,18,24,3410,105,177
20,257,1,2,0,52775,46360,5.4,8.0,300,13,18,5969,119,206
20,67,1,2,1,42915,39443,4.6,8.0,302,13,18,4834,114,193
20,210,2,2,2,32495,29969,3.0,6.0,232,20,26,3681,115,194
20,211,2,2,2,36895,33929,3.0,6.0,232,20,26,3681,115,194
20,212,2,2,2,40095,36809,3.9,8.0,280,17,24,3768,115,194
20,213,2,2,2,43495,39869,3.9,8.0,280,17,24,3768,115,194
20,377,2,2,2,41815,38418,4.6,8.0,239,17,25,4369,118,215
20,378,2,2,2,44925,41217,4.6,8.0,239,17,25,4369,118,215
20,379,2,2,2,50470,46208,4.6,8.0,239,17,25,4474,124,221
21,113,2,1,1,16999,15437,1.6,4.0,115,28,37,2524,97,143
21,114,2,1,1,19999,18137,1.6,4.0,163,25,34,2678,97,144
22,384,1,0,0,21087,19742,2.0,4.0,130,22,25,3091,103,173
22,243,2,0,1,15500,14525,2.0,4.0,148,26,34,2696,104,178
22,244,2,0,1,17200,15922,2.3,4.0,160,25,31,2762,104,179
22,245,2,0,1,19270,17817,2.3,4.0,160,24,32,3042,105,187
22,231,2,0,1,28750,26600,3.0,6.0,200,18,25,3812,112,188
22,234,3,0,2,22388,20701,1.8,4.0,142,23,28,2387,89,156
22,233,3,0,2,25193,23285,1.8,4.0,142,23,28,2387,89,156
22,69,4,0,2,14840,14070,2.3,4.0,143,24,29,2960,112,188
22,70,4,0,0,22350,20482,4.0,6.0,207,15,19,3571,126,203
23,171,1,1,0,76870,71540,5.0,8.0,292,13,14,5423,112,186
23,230,1,1,0,46470,43268,5.0,8.0,288,14,17,4874,111,183
23,75,2,1,2,26060,24249,1.8,4.0,189,22,30,3250,107,178
23,80,2,1,2,28370,26435,3.2,6.0,215,19,26,3430,107,178
23,77,2,1,2,32280,30071,2.6,6.0,168,20,25,3360,107,178
23,77,2,1,0,33480,31187,2.6,6.0,168,19,25,3360,107,178
23,81,2,1,2,35920,33456,3.2,6.0,215,19,26,3430,107,178
23,79,2,1,2,37630,35046,3.2,6.0,215,20,26,3450,107,178
23,79,2,1,0,38830,36162,3.2,6.0,215,19,27,3450,107,178
23,78,2,1,2,52120,48522,3.2,6.0,349,16,21,3540,107,178
23,84,2,1,2,94820,88324,5.0,8.0,302,16,24,4085,114,196
23,85,2,1,2,128420,119600,5.5,12.0,493,13,19,4473,114,196
23,86,2,1,2,45707,41966,3.2,6.0,215,20,26,3770,107,183
23,87,2,1,2,52800,49104,5.0,8.0,302,17,22,3585,107,183
23,132,2,1,2,48170,44849,3.2,6.0,221,19,27,3635,112,190
23,134,2,1,2,57270,53382,5.0,8.0,302,16,20,3815,112,190
23,313,2,1,2,74320,69168,4.3,8.0,275,18,26,4160,122,203
23,314,2,1,0,86970,80939,5.0,8.0,302,16,24,4390,122,203
23,322,3,1,2,90520,84325,5.0,8.0,302,16,23,4065,101,179
23,323,3,1,2,121770,113388,5.5,8.0,493,14,21,4235,101,179
23,324,3,1,2,126670,117854,5.5,12.0,493,13,19,4429,101,179
23,325,3,1,2,40320,37548,2.3,4.0,192,21,29,3055,95,158
23,326,3,1,2,56170,52289,3.2,6.0,349,17,22,3220,95,158
23,76,5,1,2,33780,31466,2.6,6.0,168,19,25,3470,107,179
23,131,5,1,2,50670,47174,3.2,6.0,221,19,27,3966,112,190
23,133,5,1,0,60670,56474,5.0,8.0,302,16,24,4230,112,190
24,252,1,2,1,29995,27317,4.0,6.0,210,16,21,4374,114,190
24,330,2,2,1,21595,19848,3.0,6.0,155,20,27,3308,109,200
24,183,2,2,2,24695,23217,4.6,8.0,224,17,25,4052,115,212
24,184,2,2,2,29595,27148,4.6,8.0,224,17,25,4052,115,212
24,331,2,2,1,23895,21918,3.0,6.0,201,19,26,3315,109,200
24,185,2,2,2,30895,28318,4.6,8.0,224,17,25,4052,115,212
24,239,2,2,2,34495,31558,4.6,8.0,302,17,23,4195,115,212
24,250,2,2,1,33995,30846,4.2,6.0,201,16,23,4340,121,202
24,329,5,2,1,22595,20748,3.0,6.0,155,19,26,3488,109,198
25,145,1,0,0,30492,28330,3.8,6.0,215,17,21,4134,109,190
25,251,1,0,0,33112,30763,3.8,6.0,215,15,19,4718,110,190
25,270,1,0,1,18892,17569,2.4,4.0,160,21,27,3240,103,179
25,215,2,0,1,14622,13751,2.0,4.0,120,25,31,2656,102,181
25,217,2,0,1,16722,15718,2.0,4.0,120,25,31,2795,102,181
25,177,2,0,1,19312,17957,2.4,4.0,160,23,30,3351,108,191
25,218,2,0,1,17232,16196,2.0,4.0,120,25,31,2744,102,181
25,128,2,0,1,29282,27250,3.5,6.0,205,18,25,3549,107,194
25,178,2,0,1,25700,23883,3.8,6.0,230,18,26,3649,108,191
25,139,3,0,1,25092,23456,3.0,6.0,210,21,28,3241,101,177
25,140,3,0,1,26992,25218,3.0,6.0,210,21,28,3296,101,177
25,216,3,0,1,29562,27466,2.0,4.0,271,18,26,3263,103,179
25,219,5,0,1,17495,16295,2.4,4.0,160,25,31,3020,102,181
26,282,1,0,1,33840,30815,5.6,8.0,305,13,19,5013,123,207
26,283,1,0,1,27339,25972,3.5,6.0,240,16,21,3871,106,183
26,412,1,0,1,20939,19512,3.3,6.0,180,17,20,3760,104,178
26,339,2,0,1,12740,12205,1.8,4.0,126,28,35,2513,100,178
26,340,2,0,1,14740,13747,1.8,4.0,126,28,35,2581,100,178
26,57,2,0,1,19240,18030,2.5,4.0,175,21,26,3039,110,192
26,341,2,0,1,17640,16444,2.5,4.0,165,23,28,2761,100,178
26,58,2,0,1,23290,21580,3.5,6.0,245,21,26,3197,110,192
26,241,2,0,1,27490,25182,3.5,6.0,265,20,28,3473,111,194
26,242,2,0,1,29440,26966,3.5,6.0,265,20,28,3476,111,194
26,289,2,0,1,24780,22958,3.5,6.0,240,19,26,4012,124,204
26,290,2,0,1,32780,30019,3.5,6.0,240,18,25,4175,124,204
26,14,3,0,2,26910,25203,3.5,6.0,287,20,26,3188,104,169
26,13,3,0,2,34390,31845,3.5,6.0,287,20,26,3428,104,169
26,168,4,0,0,19479,18253,3.3,6.0,180,17,20,3932,116,191
26,375,4,0,0,26650,24926,5.6,8.0,305,14,18,5287,140,224
26,253,5,0,2,28739,27300,3.5,6.0,245,20,25,3801,111,188
27,56,2,2,1,18825,17642,2.2,4.0,140,24,32,2946,107,187
27,55,2,2,1,23675,21485,3.4,6.0,170,20,29,3085,107,187
27,348,2,2,1,28790,26120,3.4,6.0,185,19,26,3948,120,201
28,68,1,2,1,21595,19810,3.4,6.0,185,19,26,3779,108,182
28,361,2,2,1,15495,14375,2.2,4.0,140,24,33,2771,104,182
28,180,2,2,1,22450,20595,3.4,6.0,175,20,29,3118,107,186
28,186,2,2,1,22395,20545,3.8,6.0,200,20,30,3477,111,198
28,362,2,2,1,17735,16369,2.2,4.0,140,24,33,2771,104,182
28,187,2,2,1,24295,22284,3.8,6.0,200,20,30,3484,111,198
28,72,2,2,1,35995,32997,4.6,8.0,275,17,20,3790,112,203
28,246,2,2,1,23845,21644,3.4,6.0,185,19,26,3803,112,187
28,247,2,2,0,31370,28454,3.4,6.0,185,18,24,4431,121,201
28,175,3,2,2,33500,30710,5.7,8.0,340,16,20,3725,110,190
28,392,5,2,2,17045,15973,1.8,4.0,130,29,36,2701,102,172
29,101,1,1,0,56665,49865,4.5,8.0,340,14,18,4950,112,188
29,29,3,1,2,79165,69229,3.6,6.0,315,18,26,3135,93,175
29,28,3,1,0,84165,72206,3.6,6.0,315,17,24,3240,93,175
29,31,3,1,2,76765,67128,3.6,6.0,315,18,26,3119,93,175
29,30,3,1,2,192465,173560,3.6,6.0,477,17,24,3131,93,175
29,74,3,1,2,43365,37886,2.7,6.0,228,20,29,2811,95,170
29,73,3,1,2,52365,45766,3.2,6.0,258,18,26,2911,95,170
30,23,2,1,1,30860,29269,2.0,4.0,210,20,28,3175,105,183
30,21,2,1,1,33360,31562,2.0,4.0,210,20,28,3175,105,183
30,27,2,1,1,35105,33011,2.3,4.0,220,21,29,3470,106,190
30,26,2,1,1,39465,37721,2.3,4.0,250,21,29,3470,106,190
30,24,2,1,1,40670,38520,2.0,4.0,210,21,29,3480,105,182
30,22,2,1,1,43175,40883,2.0,4.0,210,21,30,3700,105,182
30,25,5,1,1,40845,38376,2.3,4.0,250,19,29,3620,106,190
31,388,1,2,0,20585,19238,2.2,4.0,143,21,26,3381,107,181
31,203,2,2,1,10995,10319,2.2,4.0,140,26,35,2692,103,185
31,417,2,2,1,14300,13393,2.2,4.0,140,26,35,2692,103,185
31,419,2,2,1,15825,14811,2.2,4.0,140,26,35,2692,103,185
31,418,2,2,1,14850,13904,2.2,4.0,140,26,35,2751,103,185
31,420,2,2,1,16350,15299,2.2,4.0,140,26,35,2751,103,185
31,208,2,2,1,21410,19801,3.0,6.0,182,20,28,3197,107,190
31,207,5,2,1,23560,21779,2.2,4.0,140,24,34,3109,107,190
32,421,2,0,1,12965,12340,1.5,4.0,108,32,38,2340,93,154
32,422,5,0,1,14165,13480,1.5,4.0,108,31,35,2425,98,155
33,197,2,0,0,19945,18399,2.5,4.0,165,22,28,2965,99,174
33,224,2,0,0,20445,18713,2.5,4.0,165,21,28,3285,104,184
33,223,2,0,0,25645,23336,2.5,4.0,165,21,28,3395,104,184
33,269,2,0,0,27145,24687,2.5,4.0,165,20,27,3495,104,184
33,268,2,0,0,29345,26660,3.0,6.0,212,19,26,3610,104,184
33,267,2,0,0,31545,28603,3.0,6.0,212,19,26,3630,104,184
33,198,3,0,0,25045,23022,2.0,4.0,227,20,27,3085,99,174
33,199,3,0,0,31545,29130,2.5,4.0,300,18,24,3263,100,174
33,71,4,0,0,24520,22304,2.5,4.0,165,21,28,3485,104,193
33,165,5,0,0,21445,19646,2.5,4.0,165,21,28,3090,99,175
33,266,5,0,0,23895,21773,2.5,4.0,165,21,28,3430,104,187
34,410,1,0,1,23699,22307,2.7,6.0,185,18,22,3682,110,187
34,394,1,0,0,17163,16949,2.5,6.0,165,19,22,3020,98,163
34,52,2,0,1,12884,12719,2.3,4.0,155,25,31,2676,98,171
34,53,2,0,1,14500,14317,2.3,4.0,155,25,31,2676,98,171
34,164,2,0,1,12269,12116,2.0,4.0,119,24,31,2701,102,177
34,163,2,0,1,15568,15378,2.0,4.0,119,22,30,2756,102,177
34,391,2,0,1,17262,17053,2.5,6.0,155,20,27,3380,106,188
34,54,5,0,0,16497,16291,2.3,4.0,155,24,29,2932,98,167
35,287,0,0,1,20510,18926,1.5,4.0,110,59,51,2890,106,175
35,342,1,0,0,35695,31827,4.7,8.0,240,14,17,5270,118,204
35,15,1,0,1,27710,24801,4.0,6.0,245,18,21,4035,110,189
